id,product_name,product_category,price,currency,quantity
1,Cilantro / Coriander - Fresh,RF Shielding,202,SEK,36
2,Chips Potato Reg 43g,Plumbing & Medical Gas,922,AUD,60
3,"Juice - Apple, 500 Ml",Rebar & Wire Mesh Install,721,HRK,39
4,Pie Shell - 5,Casework,186,BGN,68
5,"Pepper - Black, Crushed",Drywall & Acoustical (FED),949,ALL,69
6,Sprouts Dikon,Overhead Doors,614,EUR,6
7,Beets - Golden,HVAC,288,CNY,57
8,Beans - Green,Marlite Panels (FED),335,EUR,96
9,"Asparagus - White, Fresh",Structural and Misc Steel (Fabrication),516,ARS,35
10,Compound - Orange,Marlite Panels (FED),117,RUB,84
11,Mix - Cocktail Ice Cream,Structural and Misc Steel (Fabrication),108,CNY,73
12,Carbonated Water - Orange,Drilled Shafts,557,EUR,49
13,"Soup - Knorr, Chicken Gumbo",Roofing (Asphalt),505,PLN,36
14,Water - San Pellegrino,Exterior Signage,577,PHP,20
15,Potatoes - Mini White 3 Oz,Granite Surfaces,431,AMD,3
16,Rolled Oats,Wall Protection,771,EUR,29
17,"Shrimp - 21/25, Peel And Deviened",Fire Sprinkler System,681,ILS,77
18,Ecolab - Hand Soap Form Antibac,Termite Control,360,PHP,18
19,"Pepsi, 355 Ml",Structural & Misc Steel Erection,577,CNY,84
20,Food Colouring - Blue,Hard Tile & Stone,682,BRL,35
21,Oil - Shortening - All - Purpose,Curb & Gutter,853,RUB,92
22,Devonshire Cream,Painting & Vinyl Wall Covering,995,NZD,3
23,"Water - Spring Water, 355 Ml",Framing (Wood),26,CNY,80
24,Yucca,Termite Control,882,PHP,95
25,Kellogs All Bran Bars,Elevator,859,CNY,70
26,"Wine - Red, Pelee Island Merlot",Site Furnishings,875,EUR,40
27,Jicama,Soft Flooring and Base,610,PLN,43
28,Whmis Spray Bottle Graduated,Overhead Doors,1000,ARS,86
29,Duck - Breast,Plumbing & Medical Gas,160,RUB,14
30,Onions - Cippolini,"Temp Fencing, Decorative Fencing and Gates",604,PHP,80
31,Garlic - Peeled,Fire Sprinkler System,107,UAH,23
32,Carbonated Water - Raspberry,Landscaping & Irrigation,494,PLN,91
33,Wasabi Powder,Marlite Panels (FED),133,PYG,4
34,"Pepper - Chipotle, Canned",Structural & Misc Steel Erection,357,IDR,6
35,Wine - Segura Viudas Aria Brut,Framing (Wood),925,IDR,90
36,Capers - Pickled,Electrical,786,EUR,24
37,Dragon Fruit,Masonry & Precast,471,NIO,59
38,Celery Root,Plumbing & Medical Gas,496,SEK,43
39,Scallop - St. Jaques,Soft Flooring and Base,192,IDR,22
40,Remy Red Berry Infusion,Prefabricated Aluminum Metal Canopies,871,IDR,2
41,Cookie - Oatmeal,Fire Sprinkler System,919,BRL,24
42,Clams - Bay,Structural and Misc Steel (Fabrication),487,RUB,39
43,Truffle Cups - Red,Waterproofing & Caulking,61,BRL,32
44,Bread - Petit Baguette,Fire Protection,906,BYR,37
45,Ham - Virginia,Overhead Doors,219,PLN,97
46,Pan Grease,Exterior Signage,787,IDR,80
47,Vodka - Smirnoff,Masonry,77,TND,64
48,"Salmon - Atlantic, No Skin",Retaining Wall and Brick Pavers,250,THB,74
49,Sauce Bbq Smokey,Asphalt Paving,391,BGN,1
50,Guinea Fowl,Rebar & Wire Mesh Install,542,ILS,14
51,Muffin Hinge 117n,Roofing (Metal),983,SEK,8
52,Wine - Ruffino Chianti,Elevator,683,BAM,43
53,Almonds Ground Blanched,Roofing (Asphalt),639,IDR,72
54,"Cheese - Havarti, Roasted Garlic",Sitework & Site Utilities,649,PHP,97
55,Gingerale - Diet - Schweppes,Electrical and Fire Alarm,209,CLP,63
56,Phyllo Dough,Hard Tile & Stone,417,PHP,28
57,Flour - All Purpose,Ornamental Railings,819,MXN,48
58,Ginsing - Fresh,Retaining Wall and Brick Pavers,147,COP,3
59,Glycerine,Casework,874,HRK,21
60,Milk - Chocolate 250 Ml,Roofing (Metal),282,MMK,34
61,"Chicken - Base, Ultimate",Plumbing & Medical Gas,450,EUR,98
62,Lamb Rack Frenched Australian,Construction Clean and Final Clean,462,PHP,21
63,Kellogs Raisan Bran Bars,EIFS,380,CNY,39
64,Lemonade - Pineapple Passion,EIFS,621,ALL,89
65,Salmon - Sockeye Raw,RF Shielding,681,CNY,26
66,Foam Espresso Cup Plain White,Structural & Misc Steel Erection,1000,TMT,85
67,Plastic Arrow Stir Stick,Hard Tile & Stone,713,CNY,39
68,Beef - Inside Round,RF Shielding,554,JPY,74
69,Mousse - Passion Fruit,Roofing (Metal),393,NOK,83
70,Appetizer - Escargot Puff,HVAC,432,RUB,18
71,Truffle Cups - Brown,Casework,61,CNY,29
